,date,customer_id,revenue,cost,amount,category,region
88,2024-01-08,CUST0095,1019.17,435.94,1019.17,Sports,South
89,2024-01-08,CUST0087,242.87,157.21,242.87,Electronics,South
90,2024-01-08,CUST0090,1628.93,1202.07,1628.93,Sports,South
91,2024-01-09,CUST0075,1445.18,646.38,1445.18,Home,West
92,2024-01-09,CUST0036,2118.83,1667.59,2118.83,Clothing,Central
93,2024-01-09,CUST0049,3765.54,2721.49,3765.54,Food,West
94,2024-01-09,CUST0024,1891.49,1344.03,1891.49,Sports,Central
95,2024-01-09,CUST0023,1231.05,827.19,1231.05,Electronics,East
96,2024-01-09,CUST0062,560.46,426.52,560.46,Books,North
97,2024-01-09,CUST0049,1634.25,1239.1,1634.25,Books,West
98,2024-01-10,CUST0071,4531.64,1978.13,4531.64,Books,West
99,2024-01-10,CUST0069,2888.52,1885.44,2888.52,Food,West
100,2024-01-10,CUST0100,1676.89,1121.85,1676.89,Home,North
101,2024-01-10,CUST0058,611.65,472.42,611.65,Sports,South
102,2024-01-10,CUST0075,2235.58,1688.04,2235.58,Clothing,West
103,2024-01-10,CUST0017,3455.75,2539.23,3455.75,Home,Central
104,2024-01-10,CUST0027,1151.75,643.44,1151.75,Clothing,South
105,2024-01-10,CUST0083,452.68,196.43,452.68,Home,North
106,2024-01-10,CUST0071,4407.78,2180.42,4407.78,Electronics,Central
107,2024-01-10,CUST0031,3779.22,2080.48,3779.22,Food,Central
108,2024-01-10,CUST0074,1921.04,1310.21,1921.04,Clothing,East
109,2024-01-10,CUST0013,600.43,358.49,600.43,Clothing,West
110,2024-01-10,CUST0072,2878.79,2004.76,2878.79,Home,North
111,2024-01-10,CUST0092,3733.85,2510.7,3733.85,Sports,North
112,2024-01-10,CUST0056,1905.61,980.03,1905.61,Electronics,Central
113,2024-01-10,CUST0032,4817.95,1950.6,4817.95,Home,Central
114,2024-01-10,CUST0085,1647.3,687.52,1647.3,Food,West
115,2024-01-11,CUST0057,1302.3,883.17,1302.3,Clothing,North
116,2024-01-11,CUST0001,1123.21,581.59,1123.21,Home,East
117,2024-01-11,CUST0012,4510.73,1886.29,4510.73,Clothing,West
118,2024-01-11,CUST0092,578.44,309.04,578.44,Books,South
119,2024-01-11,CUST0028,1971.93,969.71,1971.93,Books,Central
120,2024-01-11,CUST0063,4873.25,3871.72,4873.25,Electronics,North
121,2024-01-11,CUST0092,1582.16,1147.89,1582.16,Home,Central
122,2024-01-11,CUST0082,4559.09,3323.64,4559.09,Food,Central
123,2024-01-11,CUST0056,3086.41,1750.91,3086.41,Sports,South
124,2024-01-12,CUST0033,273.83,112.42,273.83,Sports,North
125,2024-01-12,CUST0011,2427.83,1927.98,2427.83,Home,South
126,2024-01-12,CUST0027,1935.41,1525.04,1935.41,Electronics,Central
127,2024-01-12,CUST0001,364.38,151.12,364.38,Home,West
128,2024-01-12,CUST0003,4073.86,3258.63,4073.86,Home,Central
129,2024-01-12,CUST0083,3644.3,2561.33,3644.3,Electronics,Central
130,2024-01-12,CUST0051,2280.19,1029.88,2280.19,Home,Central
131,2024-01-12,CUST0032,1075.78,808.22,1075.78,Clothing,West
132,2024-01-12,CUST0034,1379.93,564.22,1379.93,Sports,East
133,2024-01-12,CUST0054,2624.81,1944.65,2624.81,Books,Central
134,2024-01-12,CUST0017,487.62,349.49,487.62,Home,Central
135,2024-01-12,CUST0038,3214.84,2321.17,3214.84,Books,South
136,2024-01-12,CUST0030,1785.41,1135.46,1785.41,Food,East
137,2024-01-12,CUST0038,4525.59,2440.66,4525.59,Electronics,West
138,2024-01-12,CUST0081,1524.9,929.34,1524.9,Home,Central
139,2024-01-13,CUST0017,2323.77,1712.24,2323.77,Books,West
140,2024-01-13,CUST0053,2322.72,1839.63,2322.72,Clothing,Central
141,2024-01-13,CUST0075,1085.2,685.69,1085.2,Food,North
142,2024-01-13,CUST0075,2327.59,1475.47,2327.59,Sports,West
143,2024-01-13,CUST0067,950.31,511.52,950.31,Food,East
144,2024-01-13,CUST0051,3354.41,1572.98,3354.41,Food,Central
145,2024-01-13,CUST0061,886.23,453.25,886.23,Sports,Central
146,2024-01-13,CUST0012,2766.14,1697.77,2766.14,Clothing,South
147,2024-01-14,CUST0073,2541.92,1718.74,2541.92,Clothing,North
148,2024-01-14,CUST0056,2431.67,1641.65,2431.67,Sports,East
149,2024-01-14,CUST0026,4608.32,1955.91,4608.32,Books,North
150,2024-01-14,CUST0052,468.36,299.24,468.36,Sports,South
151,2024-01-14,CUST0002,3811.78,2334.74,3811.78,Home,South
152,2024-01-15,CUST0003,781.31,354.13,781.31,Sports,East
153,2024-01-15,CUST0038,2683.96,1188.64,2683.96,Food,East
154,2024-01-15,CUST0028,1250.23,634.74,1250.23,Clothing,North
155,2024-01-15,CUST0044,4211.51,1834.88,4211.51,Electronics,North
156,2024-01-15,CUST0010,1747.49,1030.3,1747.49,Food,North
157,2024-01-15,CUST0086,2517.29,1094.44,2517.29,Clothing,North
158,2024-01-15,CUST0006,2844.07,1568.53,2844.07,Books,South
159,2024-01-15,CUST0059,3057.4,1521.79,3057.4,Home,Central
160,2024-01-15,CUST0021,4671.77,1882.79,4671.77,Sports,West
161,2024-01-15,CUST0094,4261.55,1854.43,4261.55,Electronics,East
162,2024-01-15,CUST0036,2646.33,1492.95,2646.33,Sports,South
163,2024-01-15,CUST0079,2901.19,2225.09,2901.19,Sports,North
164,2024-01-15,CUST0062,2479.21,1708.57,2479.21,Electronics,South
165,2024-01-15,CUST0051,2805.98,1763.96,2805.98,Home,West
166,2024-01-15,CUST0068,1065.13,838.47,1065.13,Food,West
167,2024-01-15,CUST0047,2562.67,1273.56,2562.67,Electronics,South
168,2024-01-15,CUST0011,3850.51,1674.65,3850.51,Books,Central
169,2024-01-15,CUST0050,2686.32,1130.21,2686.32,Clothing,Central
170,2024-01-16,CUST0040,2767.16,1330.15,2767.16,Clothing,West
171,2024-01-16,CUST0017,1310.47,881.42,1310.47,Electronics,East
172,2024-01-16,CUST0035,2392.17,1536.83,2392.17,Sports,North
173,2024-01-16,CUST0050,4261.1,2975.91,4261.1,Sports,Central
174,2024-01-16,CUST0076,3667.79,2843.77,3667.79,Food,East
175,2024-01-16,CUST0060,4635.92,3192.48,4635.92,Home,East
176,2024-01-16,CUST0030,3986.57,1916.15,3986.57,Food,Central
177,2024-01-16,CUST0078,972.7,480.79,972.7,Clothing,West
178,2024-01-16,CUST0018,1615.17,1026.16,1615.17,Sports,East
179,2024-01-16,CUST0063,3139.3,1933.54,3139.3,Electronics,North
180,2024-01-16,CUST0066,1809.04,1006.9,1809.04,Sports,Central
181,2024-01-17,CUST0070,1183.68,730.49,1183.68,Sports,East
182,2024-01-17,CUST0064,3157.15,1685.8,3157.15,Books,Central
183,2024-01-17,CUST0027,2502.35,1743.1,2502.35,Books,Central
184,2024-01-17,CUST0027,800.79,420.17,800.79,Electronics,West
185,2024-01-17,CUST0074,2870.95,2023.98,2870.95,Electronics,Central
186,2024-01-17,CUST0088,597.63,441.4,597.63,Books,Central
187,2024-01-17,CUST0068,2722.31,1618.53,2722.31,Books,Central
188,2024-01-17,CUST0036,3614.18,2372.56,3614.18,Books,South
189,2024-01-17,CUST0011,1296.41,697.83,1296.41,Sports,South
190,2024-01-17,CUST0023,1745.5,856.93,1745.5,Clothing,East
191,2024-01-17,CUST0062,809.09,513.36,809.09,Clothing,North
192,2024-01-17,CUST0043,1317.28,909.5,1317.28,Books,West
193,2024-01-18,CUST0037,4597.82,3292.19,4597.82,Clothing,North
194,2024-01-18,CUST0051,2902.63,1865.48,2902.63,Home,North
195,2024-01-18,CUST0046,4631.56,2687.86,4631.56,Home,Central
196,2024-01-18,CUST0087,869.33,412.52,869.33,Electronics,North
197,2024-01-18,CUST0040,4355.99,2646.42,4355.99,Home,North
198,2024-01-18,CUST0057,3734.04,1800.67,3734.04,Home,South
199,2024-01-18,CUST0025,1700.82,951.21,1700.82,Clothing,East
200,2024-01-18,CUST0091,4618.65,2707.82,4618.65,Clothing,East
201,2024-01-19,CUST0051,2955.99,1221.23,2955.99,Sports,North
202,2024-01-19,CUST0088,2516.92,1428.53,2516.92,Electronics,North
203,2024-01-19,CUST0026,3913.45,1999.91,3913.45,Books,South
204,2024-01-19,CUST0084,3334.51,1571.27,3334.51,Electronics,North
205,2024-01-19,CUST0063,2808.66,2090.35,2808.66,Home,North
206,2024-01-20,CUST0087,2997.16,1279.28,2997.16,Food,East
207,2024-01-20,CUST0030,4008.92,2163.83,4008.92,Home,North
208,2024-01-20,CUST0040,230.92,135.97,230.92,Food,South
209,2024-01-20,CUST0066,1505.52,1032.22,1505.52,Sports,West
210,2024-01-20,CUST0051,2431.39,1455.93,2431.39,Books,North
211,2024-01-20,CUST0003,1705.1,733.53,1705.1,Clothing,South
212,2024-01-20,CUST0097,4492.28,2743.13,4492.28,Books,South
213,2024-01-20,CUST0057,4341.62,2445.17,4341.62,Food,East
214,2024-01-20,CUST0067,2552.26,1628.39,2552.26,Food,North
215,2024-01-20,CUST0035,2805.77,1931.28,2805.77,Sports,East
216,2024-01-20,CUST0054,4815.11,3745.02,4815.11,Home,South
217,2024-01-21,CUST0085,3184.54,2211.22,3184.54,Food,Central
218,2024-01-21,CUST0082,4388.4,2883.92,4388.4,Clothing,North
219,2024-01-21,CUST0002,4096.35,2198.62,4096.35,Food,West
220,2024-01-21,CUST0094,4161.74,2239.34,4161.74,Electronics,South
221,2024-01-21,CUST0086,4312.29,2103.55,4312.29,Books,North
222,2024-01-21,CUST0087,4348.92,2587.49,4348.92,Electronics,South
223,2024-01-21,CUST0040,161.22,81.82,161.22,Clothing,Central
224,2024-01-21,CUST0022,2042.62,995.18,2042.62,Food,West
225,2024-01-21,CUST0098,704.77,535.78,704.77,Home,East
226,2024-01-21,CUST0042,4121.79,2521.98,4121.79,Books,North
227,2024-01-21,CUST0025,1406.57,874.43,1406.57,Sports,South
228,2024-01-22,CUST0085,1071.79,433.43,1071.79,Food,North
229,2024-01-22,CUST0098,1369.17,948.66,1369.17,Books,Central
230,2024-01-22,CUST0045,3341.93,1571.2,3341.93,Electronics,South
231,2024-01-22,CUST0046,2051.69,1453.34,2051.69,Clothing,West
232,2024-01-22,CUST0053,4795.2,2271.72,4795.2,Books,East
233,2024-01-22,CUST0040,1264.48,702.69,1264.48,Food,West
234,2024-01-22,CUST0099,3609.28,1872.67,3609.28,Sports,South
235,2024-01-22,CUST0022,2013.41,1573.75,2013.41,Home,North
236,2024-01-22,CUST0083,1386.06,853.73,1386.06,Food,West
237,2024-01-22,CUST0098,304.56,182.29,304.56,Electronics,South
238,2024-01-22,CUST0040,2397.47,1289.25,2397.47,Electronics,North
239,2024-01-22,CUST0042,2502.68,1690.21,2502.68,Electronics,East
240,2024-01-22,CUST0044,4104.56,2954.32,4104.56,Food,South
241,2024-01-22,CUST0059,560.31,294.63,560.31,Food,North
242,2024-01-22,CUST0055,727.25,567.33,727.25,Electronics,West
243,2024-01-22,CUST0008,2732.41,2047.06,2732.41,Home,North
244,2024-01-23,CUST0072,3634.31,2380.08,3634.31,Electronics,South
245,2024-01-23,CUST0026,2472.65,1207.85,2472.65,Electronics,Central
246,2024-01-23,CUST0016,3366.09,1405.9,3366.09,Electronics,South
247,2024-01-23,CUST0014,2861.33,2192.34,2861.33,Home,North
248,2024-01-23,CUST0059,1003.37,447.61,1003.37,Home,South
249,2024-01-23,CUST0099,3738.07,1577.29,3738.07,Clothing,East
250,2024-01-23,CUST0031,4153.13,1722.73,4153.13,Food,West
251,2024-01-23,CUST0037,646.81,278.63,646.81,Food,South
252,2024-01-23,CUST0015,3637.6,1550.13,3637.6,Electronics,West
253,2024-01-23,CUST0082,3964.08,2091.06,3964.08,Electronics,Central
254,2024-01-23,CUST0055,3098.52,1528.14,3098.52,Food,South
255,2024-01-24,CUST0013,155.28,116.44,155.28,Clothing,East
256,2024-01-24,CUST0029,396.65,160.16,396.65,Sports,North
257,2024-01-24,CUST0057,2039.56,1207.32,2039.56,Books,North
258,2024-01-24,CUST0084,3852.95,2185.04,3852.95,Home,North
259,2024-01-24,CUST0014,1231.95,547.22,1231.95,Sports,South
260,2024-01-24,CUST0025,1516.73,748.42,1516.73,Electronics,Central
261,2024-01-25,CUST0088,273.25,121.26,273.25,Books,West
262,2024-01-25,CUST0043,4784.26,3440.82,4784.26,Books,East
263,2024-01-25,CUST0071,4523.43,3599.18,4523.43,Books,West
264,2024-01-25,CUST0063,1196.77,930.01,1196.77,Sports,Central
265,2024-01-25,CUST0098,4161.68,1865.0,4161.68,Electronics,South
266,2024-01-25,CUST0006,231.82,181.5,231.82,Home,Central
267,2024-01-25,CUST0009,3167.4,1541.03,3167.4,Food,West
268,2024-01-25,CUST0035,4974.79,2335.95,4974.79,Clothing,South
269,2024-01-25,CUST0032,3495.3,1613.29,3495.3,Food,Central
270,2024-01-25,CUST0073,1157.9,711.86,1157.9,Books,Central
271,2024-01-25,CUST0067,502.86,377.64,502.86,Food,West
272,2024-01-25,CUST0098,2409.55,1006.59,2409.55,Books,South
273,2024-01-25,CUST0005,4057.1,2686.2,4057.1,Food,East
274,2024-01-25,CUST0038,1442.89,722.97,1442.89,Food,Central
275,2024-01-25,CUST0037,291.48,178.69,291.48,Books,Central
276,2024-01-25,CUST0040,4477.68,3566.87,4477.68,Home,Central
277,2024-01-25,CUST0040,4537.24,2851.78,4537.24,Clothing,East
278,2024-01-25,CUST0088,4329.24,3002.6,4329.24,Food,West
279,2024-01-26,CUST0013,828.84,384.71,828.84,Food,Central
280,2024-01-26,CUST0063,3502.48,2353.87,3502.48,Food,West
281,2024-01-26,CUST0058,835.1,628.28,835.1,Electronics,East
282,2024-01-26,CUST0032,4401.4,1769.62,4401.4,Food,Central
283,2024-01-26,CUST0100,3730.37,1732.02,3730.37,Clothing,Central
284,2024-01-27,CUST0013,1330.51,634.99,1330.51,Sports,East
285,2024-01-27,CUST0095,4906.87,3202.84,4906.87,Clothing,West
286,2024-01-27,CUST0070,94.91,69.04,94.91,Food,South
287,2024-01-27,CUST0028,2189.59,1611.65,2189.59,Books,Central
288,2024-01-27,CUST0096,557.42,431.94,557.42,Books,South
289,2024-01-27,CUST0012,4739.12,2211.04,4739.12,Sports,North
290,2024-01-27,CUST0090,2931.74,1578.31,2931.74,Food,South
291,2024-01-27,CUST0029,4364.11,3445.01,4364.11,Books,West
292,2024-01-27,CUST0076,3255.49,2076.22,3255.49,Home,East
293,2024-01-27,CUST0032,4116.49,2258.86,4116.49,Food,East
294,2024-01-27,CUST0046,3432.31,1985.12,3432.31,Clothing,Central
295,2024-01-27,CUST0039,4724.3,2082.84,4724.3,Home,Central
296,2024-01-27,CUST0047,1526.95,1123.81,1526.95,Sports,West
297,2024-01-27,CUST0081,3289.83,1675.52,3289.83,Sports,West
298,2024-01-27,CUST0047,204.95,141.93,204.95,Home,East
299,2024-01-27,CUST0069,4824.38,3396.54,4824.38,Food,East
300,2024-01-27,CUST0015,2076.2,1573.01,2076.2,Clothing,Central
301,2024-01-28,CUST0012,204.11,134.85,204.11,Clothing,West
302,2024-01-28,CUST0046,2392.39,1883.47,2392.39,Electronics,North
303,2024-01-28,CUST0027,501.26,231.32,501.26,Sports,South
304,2024-01-28,CUST0064,3817.07,2482.96,3817.07,Books,Central
305,2024-01-28,CUST0020,4563.59,3591.56,4563.59,Sports,North
306,2024-01-28,CUST0084,56.1,35.86,56.1,Books,North
307,2024-01-28,CUST0063,1042.6,622.05,1042.6,Sports,Central
308,2024-01-29,CUST0064,2971.81,1703.73,2971.81,Home,North
309,2024-01-29,CUST0064,107.52,46.12,107.52,Clothing,East
310,2024-01-29,CUST0041,3490.16,2596.85,3490.16,Food,East
311,2024-01-29,CUST0046,569.4,282.89,569.4,Sports,West
312,2024-01-29,CUST0032,3527.2,2200.48,3527.2,Clothing,West
313,2024-01-29,CUST0077,408.46,250.67,408.46,Sports,North
314,2024-01-29,CUST0066,4131.34,2243.82,4131.34,Sports,South
315,2024-01-29,CUST0098,3462.85,2494.07,3462.85,Clothing,West
316,2024-01-29,CUST0067,567.61,371.54,567.61,Food,North
317,2024-01-30,CUST0041,3102.19,2001.47,3102.19,Clothing,West
318,2024-01-30,CUST0062,4361.3,2990.26,4361.3,Books,East
319,2024-01-30,CUST0080,2447.77,1626.12,2447.77,Books,South
320,2024-01-30,CUST0041,3929.97,2327.96,3929.97,Books,South
321,2024-01-30,CUST0012,2221.11,1532.41,2221.11,Books,Central
322,2024-01-30,CUST0019,2422.43,1565.61,2422.43,Sports,West
323,2024-01-30,CUST0053,3734.18,2795.91,3734.18,Food,West
324,2024-01-30,CUST0022,2799.05,1924.85,2799.05,Home,North
325,2024-01-30,CUST0035,2491.72,1077.94,2491.72,Home,Central
326,2024-01-30,CUST0007,2121.08,1021.15,2121.08,Books,North
327,2024-01-31,CUST0024,4805.86,2721.86,4805.86,Books,Central
328,2024-01-31,CUST0020,1762.38,966.52,1762.38,Books,South
329,2024-01-31,CUST0036,4341.81,2741.72,4341.81,Clothing,Central
330,2024-01-31,CUST0079,2007.8,1289.96,2007.8,Clothing,West
331,2024-01-31,CUST0058,2137.52,1091.7,2137.52,Sports,Central
332,2024-01-31,CUST0040,1092.78,709.42,1092.78,Home,North
333,2024-01-31,CUST0094,701.26,481.3,701.26,Clothing,West
334,2024-01-31,CUST0037,1895.6,1146.93,1895.6,Home,Central
335,2024-01-31,CUST0014,2213.97,971.84,2213.97,Electronics,West
336,2024-01-31,CUST0089,2985.11,1389.3,2985.11,Electronics,West
337,2024-01-31,CUST0065,1327.76,879.9,1327.76,Books,West
338,2024-01-31,CUST0011,4850.61,2820.71,4850.61,Clothing,East
339,2024-01-31,CUST0093,2238.02,1191.42,2238.02,Clothing,West
340,2024-01-31,CUST0020,4152.97,2376.97,4152.97,Food,West
341,2024-01-31,CUST0084,3548.55,1656.52,3548.55,Books,North
342,2024-01-31,CUST0076,3047.41,1653.81,3047.41,Home,North
343,2024-01-31,CUST0028,4228.64,3054.21,4228.64,Sports,West
344,2024-01-31,CUST0078,2722.53,1126.24,2722.53,Clothing,North
345,2024-02-01,CUST0001,1194.1,502.33,1194.1,Food,Central
346,2024-02-01,CUST0051,4672.68,2459.99,4672.68,Sports,West
347,2024-02-01,CUST0088,784.3,623.24,784.3,Food,East
348,2024-02-01,CUST0029,136.03,71.99,136.03,Electronics,East
349,2024-02-01,CUST0084,2469.79,1646.72,2469.79,Sports,Central
350,2024-02-01,CUST0008,760.53,590.12,760.53,Clothing,Central
351,2024-02-01,CUST0096,514.81,344.43,514.81,Sports,Central
352,2024-02-01,CUST0065,4818.57,2419.51,4818.57,Clothing,East
353,2024-02-01,CUST0017,3432.08,2055.37,3432.08,Clothing,North
354,2024-02-01,CUST0046,200.42,154.8,200.42,Books,North
355,2024-02-01,CUST0014,3023.02,2346.92,3023.02,Home,Central
356,2024-02-01,CUST0066,2907.07,1568.16,2907.07,Clothing,North
357,2024-02-01,CUST0013,4338.87,3459.53,4338.87,Electronics,Central
358,2024-02-01,CUST0068,2856.73,1986.51,2856.73,Clothing,Central
359,2024-02-01,CUST0019,3837.69,2956.06,3837.69,Sports,South
360,2024-02-01,CUST0083,3823.31,2749.44,3823.31,Home,East
361,2024-02-01,CUST0071,1909.58,990.59,1909.58,Electronics,Central
362,2024-02-01,CUST0071,1656.7,905.53,1656.7,Home,East
363,2024-02-01,CUST0049,1973.36,1143.52,1973.36,Electronics,East
364,2024-02-02,CUST0072,122.6,77.83,122.6,Sports,South
365,2024-02-02,CUST0085,3808.75,2285.93,3808.75,Clothing,South
366,2024-02-02,CUST0026,2421.95,993.62,2421.95,Electronics,West
367,2024-02-02,CUST0079,787.51,480.89,787.51,Books,West
368,2024-02-02,CUST0070,3059.13,2159.6,3059.13,Sports,South
369,2024-02-02,CUST0021,3591.68,2185.51,3591.68,Food,Central
370,2024-02-02,CUST0075,4495.25,2235.91,4495.25,Food,West
371,2024-02-02,CUST0034,4675.46,2527.78,4675.46,Sports,Central
372,2024-02-02,CUST0027,3105.89,1892.21,3105.89,Home,West
373,2024-02-02,CUST0036,2718.85,1426.1,2718.85,Sports,South
374,2024-02-02,CUST0090,2029.53,1604.73,2029.53,Electronics,East
375,2024-02-02,CUST0039,659.95,490.85,659.95,Home,North
376,2024-02-02,CUST0036,2858.2,1436.6,2858.2,Books,West
377,2024-02-02,CUST0044,480.84,349.24,480.84,Home,South
378,2024-02-02,CUST0022,605.91,242.99,605.91,Sports,Central
379,2024-02-02,CUST0009,4426.82,2174.6,4426.82,Clothing,South
380,2024-02-03,CUST0080,4207.31,3197.6,4207.31,Electronics,South
381,2024-02-03,CUST0024,1315.44,685.11,1315.44,Food,West
382,2024-02-03,CUST0018,2147.5,1432.43,2147.5,Food,West
383,2024-02-03,CUST0069,791.03,450.56,791.03,Electronics,East
384,2024-02-03,CUST0021,4352.84,2564.5,4352.84,Electronics,Central
385,2024-02-03,CUST0032,3227.76,2074.92,3227.76,Food,South
386,2024-02-03,CUST0057,1321.58,862.73,1321.58,Sports,North
387,2024-02-03,CUST0085,4939.54,2245.4,4939.54,Clothing,East
388,2024-02-03,CUST0041,2241.45,1296.27,2241.45,Electronics,East
389,2024-02-03,CUST0019,4956.72,2237.25,4956.72,Books,South
390,2024-02-03,CUST0036,1719.27,1310.45,1719.27,Home,North
391,2024-02-03,CUST0097,2998.97,1680.85,2998.97,Food,North
392,2024-02-03,CUST0060,3104.92,1791.43,3104.92,Clothing,West
393,2024-02-04,CUST0008,396.16,259.91,396.16,Sports,South
394,2024-02-04,CUST0058,3416.65,1682.13,3416.65,Food,South
